from,to,rail_id,fee_pct,slippage_pct,fx_rate,latency_sec
USD,INR,WISE,1.4,0.4,90.61520586148856,28800
USD,INR,STRIPE,3.1,0.8,88.80290174425879,172800
USD,INR,PAYPAL,3.6,0.9,86.99059762702902,7200
USD,INR,SWIFT,2.0,0.5,89.70905380287367,259200
USD,EUR,WISE,1.4,0.4,0.8399,28800
USD,EUR,STRIPE,3.1,0.8,0.823102,172800
USD,EUR,PAYPAL,3.6,0.9,0.8063039999999999,7200
USD,EUR,SWIFT,2.0,0.5,0.8315009999999999,259200
USD,GBP,WISE,1.4,0.4,0.7312095190817371,28800
USD,GBP,STRIPE,3.1,0.8,0.7165853287001024,172800
USD,GBP,PAYPAL,3.6,0.9,0.7019611383184676,7200
USD,GBP,SWIFT,2.0,0.5,0.7238974238909198,259200
USD,JPY,WISE,1.4,0.4,155.38769045857973,28800
USD,JPY,STRIPE,3.1,0.8,152.27993664940814,172800
USD,JPY,PAYPAL,3.6,0.9,149.17218284023653,7200
USD,JPY,SWIFT,2.0,0.5,153.83381355399393,259200
USD,AUD,WISE,1.4,0.4,1.414204,28800
USD,AUD,STRIPE,3.1,0.8,1.38591992,172800
USD,AUD,PAYPAL,3.6,0.9,1.35763584,7200
USD,AUD,SWIFT,2.0,0.5,1.40006196,259200
USD,CAD,WISE,1.4,0.4,1.3556674914756015,28800
USD,CAD,STRIPE,3.1,0.8,1.3285541416460895,172800
USD,CAD,PAYPAL,3.6,0.9,1.3014407918165773,7200
USD,CAD,SWIFT,2.0,0.5,1.3421108165608455,259200
USD,SGD,WISE,1.4,0.4,1.265289,28800
USD,SGD,STRIPE,3.1,0.8,1.23998322,172800
USD,SGD,PAYPAL,3.6,0.9,1.21467744,7200
USD,SGD,SWIFT,2.0,0.5,1.25263611,259200
USD,AED,WISE,1.4,0.4,3.672824998468481,28800
USD,AED,STRIPE,3.1,0.8,3.5993684984991114,172800
USD,AED,PAYPAL,3.6,0.9,3.525911998529742,7200
USD,AED,SWIFT,2.0,0.5,3.636096748483796,259200
USD,BRL,WISE,1.4,0.4,5.1935995,28800
USD,BRL,STRIPE,3.1,0.8,5.08972751,172800
USD,BRL,PAYPAL,3.6,0.9,4.98585552,7200
USD,BRL,SWIFT,2.0,0.5,5.141663505,259200
USD,USDC,CEX_SPOT,1.0,0.1,1.0,600
USD,USDC,DEFI_POOL,0.3,0.5,1.0,30
USD,USDT,CEX_SPOT,1.0,0.1,1.0006954833609358,600
USD,USDT,DEFI_POOL,0.3,0.5,1.0006954833609358,30
USD,ETH,CEX_SPOT,1.0,0.1,0.0004960600431076,600
USD,ETH,DEFI_POOL,0.3,0.5,0.0004960600431076,30
USD,BTC,CEX_SPOT,1.0,0.1,0.0000144673717726,600
USD,BTC,DEFI_POOL,0.3,0.5,0.0000144673717726,30
INR,USD,WISE,1.4,0.4,0.0110356754199573,28800
INR,USD,STRIPE,3.1,0.8,0.010814961911558153,172800
INR,USD,PAYPAL,3.6,0.9,0.010594248403159007,7200
INR,USD,SWIFT,2.0,0.5,0.010925318665757727,259200
INR,EUR,WISE,1.4,0.4,0.009268863785222136,28800
INR,EUR,STRIPE,3.1,0.8,0.009083486509517694,172800
INR,EUR,PAYPAL,3.6,0.9,0.00889810923381325,7200
INR,EUR,SWIFT,2.0,0.5,0.009176175147369915,259200
INR,GBP,WISE,1.4,0.4,0.008069390916569125,28800
INR,GBP,STRIPE,3.1,0.8,0.007908003098237743,172800
INR,GBP,PAYPAL,3.6,0.9,0.00774661527990636,7200
INR,GBP,SWIFT,2.0,0.5,0.007988697007403433,259200
INR,JPY,WISE,1.4,0.4,1.7148081161576818,28800
INR,JPY,STRIPE,3.1,0.8,1.6805119538345281,172800
INR,JPY,PAYPAL,3.6,0.9,1.6462157915113744,7200
INR,JPY,SWIFT,2.0,0.5,1.697660034996105,259200
INR,AUD,WISE,1.4,0.4,0.015606696321605294,28800
INR,AUD,STRIPE,3.1,0.8,0.015294562395173189,172800
INR,AUD,PAYPAL,3.6,0.9,0.014982428468741081,7200
INR,AUD,SWIFT,2.0,0.5,0.01545062935838924,259200
INR,CAD,WISE,1.4,0.4,0.014960706413312468,28800
INR,CAD,STRIPE,3.1,0.8,0.01466149228504622,172800
INR,CAD,PAYPAL,3.6,0.9,0.014362278156779968,7200
INR,CAD,SWIFT,2.0,0.5,0.014811099349179343,259200
INR,SGD,WISE,1.4,0.4,0.013963318716442354,28800
INR,SGD,STRIPE,3.1,0.8,0.013684052342113506,172800
INR,SGD,PAYPAL,3.6,0.9,0.013404785967784659,7200
INR,SGD,SWIFT,2.0,0.5,0.013823685529277931,259200
INR,AED,WISE,1.4,0.4,0.040532104557403324,28800
INR,AED,STRIPE,3.1,0.8,0.039721462466255256,172800
INR,AED,PAYPAL,3.6,0.9,0.03891082037510719,7200
INR,AED,SWIFT,2.0,0.5,0.04012678351182929,259200
INR,BRL,WISE,1.4,0.4,0.05731487834325253,28800
INR,BRL,STRIPE,3.1,0.8,0.05616858077638748,172800
INR,BRL,PAYPAL,3.6,0.9,0.055022283209522425,7200
INR,BRL,SWIFT,2.0,0.5,0.05674172955982001,259200
INR,USDC,CEX_SPOT,1.0,0.1,0.0110356754199573,600
INR,USDC,DEFI_POOL,0.3,0.5,0.0110356754199573,30
INR,USDT,CEX_SPOT,1.0,0.1,0.011043350548588569,600
INR,USDT,DEFI_POOL,0.3,0.5,0.011043350548588569,30
INR,ETH,CEX_SPOT,1.0,0.1,5.4743576245455e-6,600
INR,ETH,DEFI_POOL,0.3,0.5,5.4743576245455e-6,30
INR,BTC,CEX_SPOT,1.0,0.1,1.596572190622659e-7,600
INR,BTC,DEFI_POOL,0.3,0.5,1.596572190622659e-7,30
EUR,USD,WISE,1.4,0.4,1.1906179307060365,28800
EUR,USD,STRIPE,3.1,0.8,1.1668055720919157,172800
EUR,USD,PAYPAL,3.6,0.9,1.142993213477795,7200
EUR,USD,SWIFT,2.0,0.5,1.1787117513989762,259200
EUR,INR,WISE,1.4,0.4,107.88808889330701,28800
EUR,INR,STRIPE,3.1,0.8,105.73032711544087,172800
EUR,INR,PAYPAL,3.6,0.9,103.57256533757473,7200
EUR,INR,SWIFT,2.0,0.5,106.80920800437394,259200
EUR,GBP,WISE,1.4,0.4,0.870591164521654,28800
EUR,GBP,STRIPE,3.1,0.8,0.8531793412312209,172800
EUR,GBP,PAYPAL,3.6,0.9,0.8357675179407877,7200
EUR,GBP,SWIFT,2.0,0.5,0.8618852528764375,259200
EUR,JPY,WISE,1.4,0.4,185.0073704709843,28800
EUR,JPY,STRIPE,3.1,0.8,181.30722306156463,172800
EUR,JPY,PAYPAL,3.6,0.9,177.60707565214494,7200
EUR,JPY,SWIFT,2.0,0.5,183.15729676627447,259200
EUR,AUD,WISE,1.4,0.4,1.6837766400761995,28800
EUR,AUD,STRIPE,3.1,0.8,1.6501011072746756,172800
EUR,AUD,PAYPAL,3.6,0.9,1.6164255744731515,7200
EUR,AUD,SWIFT,2.0,0.5,1.6669388736754376,259200
EUR,CAD,WISE,1.4,0.4,1.614082023426124,28800
EUR,CAD,STRIPE,3.1,0.8,1.5818003829576015,172800
EUR,CAD,PAYPAL,3.6,0.9,1.5495187424890788,7200
EUR,CAD,SWIFT,2.0,0.5,1.5979412031918627,259200
EUR,SGD,WISE,1.4,0.4,1.5064757709251102,28800
EUR,SGD,STRIPE,3.1,0.8,1.476346255506608,172800
EUR,SGD,PAYPAL,3.6,0.9,1.4462167400881056,7200
EUR,SGD,SWIFT,2.0,0.5,1.4914110132158591,259200
EUR,AED,WISE,1.4,0.4,4.3729312995219445,28800
EUR,AED,STRIPE,3.1,0.8,4.285472673531506,172800
EUR,AED,PAYPAL,3.6,0.9,4.198014047541067,7200
EUR,AED,SWIFT,2.0,0.5,4.329201986526725,259200
EUR,BRL,WISE,1.4,0.4,6.183592689605906,28800
EUR,BRL,STRIPE,3.1,0.8,6.059920835813787,172800
EUR,BRL,PAYPAL,3.6,0.9,5.936248982021669,7200
EUR,BRL,SWIFT,2.0,0.5,6.121756762709847,259200
EUR,USDC,CEX_SPOT,1.0,0.1,1.1906179307060365,600
EUR,USDC,DEFI_POOL,0.3,0.5,1.1906179307060365,30
EUR,USDT,CEX_SPOT,1.0,0.1,1.1914459856660744,600
EUR,USDT,DEFI_POOL,0.3,0.5,1.1914459856660744,30
EUR,ETH,CEX_SPOT,1.0,0.1,0.000590617982030718,600
EUR,ETH,DEFI_POOL,0.3,0.5,0.000590617982030718,30
EUR,BTC,CEX_SPOT,1.0,0.1,0.000017225112242647934,600
EUR,BTC,DEFI_POOL,0.3,0.5,0.000017225112242647934,30
GBP,USD,WISE,1.4,0.4,1.3675970756723923,28800
GBP,USD,STRIPE,3.1,0.8,1.3402451341589445,172800
GBP,USD,PAYPAL,3.6,0.9,1.3128931926454965,7200
GBP,USD,SWIFT,2.0,0.5,1.3539211049156683,259200
GBP,INR,WISE,1.4,0.4,123.92509054762357,28800
GBP,INR,STRIPE,3.1,0.8,121.44658873667109,172800
